Nazov;Adresa;URL
MsHK Žilina, a.s.;Športová 5, 010 01 Žilina, SVK;
HK DUKLA Trenčín, a.s.;Považská 34, 911 01 Trenčín, SVK;www.hkdukla.sk
HC Košice s.r.o.;Nerudova 12, 04001 Košice - Juh, SVK;www.hckosice.sk
HC SLOVAN Bratislava, a.s.;Odbojárov 9, 83104 Bratislava - Nové Mesto, SVK;www.hcslovan.sk
MHK Dubnica nad Váhom;Športovcov 1, 01841 Dubnica nad Váhom, SVK;
HKM a.s. Zvolen;Pod Dráhami 2292/21, 960 01 Zvolen, SVK;www.hkmzvolen.sk
MHC Martin, a.s.;Gorkého 2, 03601 Martin, SVK;www.mhcmartin.sk
